Media,Radical left,Greens,Left,Liberals,Right,Radical right,Other
Radio Classique,"5,535714286","5,357142857","25,17857143","12,67857143","40,71428571","7,5","3,035714286"
BFM Radio,"5,535714286","5,178571429","25,53571429","11,07142857","41,42857143","5,714285714","5,535714286"
TF1,"9,107142857",5,25,"10,89285714","38,75","7,678571429","3,571428571"
TMC,5,"6,25","28,03571429","9,6875","39,59821429","5,357142857","6,071428571"
LCI,"8,571428571","4,821428571","27,32142857","13,57142857","34,64285714","8,035714286","3,035714286"
CNews/I-Télé,"8,75","6,607142857","25,89285714","12,14285714","35,53571429","8,392857143","2,678571429"
M6,"9,107142857","7,5","27,32142857","8,571428571","36,60714286","6,964285714","3,928571429"
BFM TV,"9,821428571","6,785714286","28,57142857","9,821428571","33,92857143","8,75","2,321428571"
RMC,"7,321428571","8,392857143","29,6875","11,20535714","33,92857143","5,714285714","3,75"
LCP/PubSen,"8,214285714","4,285714286","33,03571429","11,42857143","38,75","2,142857143","2,142857143"
France 3,"8,928571429","6,428571429","30,53571429","7,5","38,21428571","4,642857143","3,75"
Europe 1,"9,285714286","7,321428571","30,17857143","9,285714286","34,28571429","5,714285714","3,928571429"
RTL,"11,42857143","6,964285714","28,48214286","9,196428571","32,14285714","7,321428571","4,464285714"
France 2,"10,17857143","7,142857143","29,64285714","8,392857143","33,92857143","6,964285714","3,75"
C8/D8,"10,53571429","8,928571429","27,85714286","6,428571429","34,46428571","6,071428571","5,714285714"
France Info,"11,78571429","7,857142857","28,03571429","11,42857143","30,71428571","8,392857143","1,785714286"
France Culture,"11,42857143","8,75","28,57142857","10,89285714","27,14285714","7,5","5,714285714"
France 5,"10,35714286","10,71428571","27,85714286","8,75","31,60714286","5,892857143","4,821428571"
Canal+,10,"7,5","32,32142857","7,321428571","33,57142857","5,892857143","3,392857143"
France Inter,"10,71428571","10,35714286","29,28571429","8,214285714","28,92857143","6,964285714","5,535714286"
France 4,"13,39285714","16,25","21,69642857","2,589285714",35,"3,928571429","7,142857143"
ARTE,"9,821428571","13,57142857","29,19642857","12,05357143","23,75","5,178571429","6,428571429"